appsname,review,rating
Samsung Health,"Loved using the app but all of a sudden all of my progress since June has been erased. All my steps, exercise, sleep tracker, etc. It shows my total steps since I began using the app, but everything that shows that progress is gone from before October. My phone hasn't changed or been reset and I've always had auto sync enabled. I'm very confused and disappointed. Like the app other than this.",5
Samsung Health,"Love this app! It starts automatically as you start moving and love adding my food intake, along with water and heart rate. The one thing they could improve is the food information; either too many similar options (ie muffin, chocolate muffin, choco muffin, etc) which is confusing or can't find the .",4
Samsung Health,"I really loved this for the step counter. I enjoyed the counting calories and seeing the nutrient intake, but it is not accurate. I have noticed several items without the correct counts or it will say 0 and there will be an actual decent amount. I can't figure out how to report the issues to fix it",3
Samsung Health,"No other app could've made me happier! I've been using the Huawei Health for a year now, but I changed my fitness watch and experienced a culture shock after I used Samsung Health! It's fantastic! I'm absolutely happy with how comprehensive it is. It spared me the trouble of downloading multiple apps by having everything I need! I salute you, creators! You did your job well! Thank you!",5
Samsung Health,"Honestly, they had one good feature, weight and calorie intake management, and now that's gone. You could have just made that thing optional. It was the reason I was using Samsung health. if I have to use two or three apps for my health tracking, it's not worth it. I'll probably end up using another app with weight management features as my main app. Sucks that my gear sport works only with this app otherwise I would uninstall it",1
Samsung Health,"Absolute rubbish....!!. Steps NEVER count properly. Read up on a few threads online about the same problem, many many people having the same problem !. I have a brand new S10 and would expect it to work effectively !. I have checked the app settings, the power settings etc and chaged it not to go to sleep, works for a while and then stops.I have also uninstalled and reinstalled the app.The only solution I found that works is restarting the phone, but even then after a while it stops again, have had to restart the phone at least twice a day, which I am not willing to keep doing to a new phone !!!. Even though I would walk a lot daily during this lockdown, the app only registers about 400-800 steps daily. I have uninstalled the app and will never use it again, if it was possible to give it ZERO stars i would...!!!",1
Samsung Health,"It is awful. Polar sync is not working. Submitted a ticket for that, received a notification with a reply, but, believe me or not, if you swipe it accidentally, you will not be able to open it. So I have a reply on my case, but I can not even see it. Apart from that, Yunmay sync is not working even though I granted all required permissions. Was it tested at all? I doubt that. You better spend more time on quality of a smaller number of features rather than poorly tested big number of them.",1
Samsung Health,"I used your app daily throughout the summer. I dropped 40 lbs. Then you just released an update which removed the one feature that helped me achieve this, the weight management widget. Why would you remove the most effective weight loss tool? It literally sets you apart from other tracker apps. Now you're just a conduit for my watch to tell MyFitnessPal my workouts. I'll check back next update and if that widget is back, I'll think about using your app again. At this point, there's no reason to.",2
Samsung Health,The calories in/out was taken away. Not a fan. Also the women's feature is powered by the app Glow...but it can't connect to the actual Glow app. I don't understand why you wouldn't just have the apps connect? I'm also disappointed with the water tracker. I wish I could just put in how many ounces instead of being confined to the one glass=8.4oz. It's just not accurate enough. If I drink a 12 oz can of sparkling water I can't put it in because im limited it 8.4 oz. Very lacking in many areas.,2
Samsung Health,"A great app, indeed. I use it to keep track of my exercises and food intake. I just wish I could choose how many ml each glass of water has, it would be extremely more convenient for me and other users, I believe. There's only the 250 ml option, but the glass I use to drink water has 400 ml.",5
Samsung Health,"So I'm not sure if others are experiencing this as well but for the last couple of days this hasn't been recording my steps at all and I'm getting quite annoyed by it. I have another app that also has a pedometer on it but it was good to have both picking up steps as they weren't always in sync and so I could work out an average from them both. But as I said, this is now not happening and its frustrating as this is what I mostly use this app for...",2
Samsung Health,Good app but had flaws. Especially with sleep tracker. The workout tracking works great including with a GPS route on runs. With the sleep tracker it doesn't show a request to log sleep hours everytime you sleep and sometimes doesn't display your auto sleep and wake time on the app especially when sleeping on night shift. It seems like the app is intended to work with a wake-in-the-morning sleep schedule it doesn't seem to work as well with night shift sleep schedule,3
Samsung Health,"Eh, its okay but missing a lot of activities while synced with a watch. I have a Samsung active 2 watch and the workout tracker is helpful, but extremely disappointing in terms of available activities to track. I am extremely athletic, I lift weights (not only machines) Olympic weight lifting, crossfit, rock climbing, sprinting, polymerics, HIIT..... the app has no settings for these types of exercises.... so I find it wildly inaccurate at ""tracking my activity",2
Samsung Health,I've been using Samsung health app for years and decided to update it so that it can link to my other apps. The update straight up sucks! It does NOT have the wait maintenance section in the app anymore. It's very limited and the information that is linked to the other app does not come through correctly. I wish I didn't update. Two thumbs DOWN!!!,1
Samsung Health,The most usefull part about this app was the weight management feature. I came back to this app after a whole 3 months to go after my basic routine only to find out the feature was taken out in an update. Samsung please return the weight management feature. You'll get a better review once you've brought back this feature. A lot of your customers look after it. Hoping to seeing this feature in a soon update,2
Samsung Health,"Extremely bad new version. Why do I need this Application if it doesn't count calories spent vs calories taken? Heart rate, steps and activity can count any fitness watch, even the cheapest and the oldest. And this version of Application is useless. Waiting till the next update, and if doesn't change- I'll have to change the Application and maybe also the devices.",1
Samsung Health,"No longer syncs steps and activity with MyFitnessPal. Under Armour (Who own MFP) have said that this is an issue with Samsung Health, and not their app. Very disappointing as this used to work. I can see by other reviews that I'm not alone in experiencing these problems. Please fix this Samsung, and I will change my review.",1
Samsung Health,Seriously disappointed. I got this app with my smartwatch and originally and it had weight management which tracked your activity versus your calorie intake. They've removed this feature and it seriously takes away from the function that was the primary reason I purchased the watch. Removing this health and weight inclusive feature was a very poor decision on Samsung's part. The app is basically useless at this point. I could have bought a cheap pedometer. Put it back.,1
Samsung Health,"Unable to use Heart rate sensor blood oxygen level stress level, On Galaxy S20 ultra, Don't seem to have a sensor anymore!! It works fine with my other phones I'm thinking it might be the ultra. Besides steps, does this app work on S20 ultra, My question was answered it is the phone it doesn't have a sensor anymore From S10 plus up That's a shame On Samsung's behalf😔😔😔
",3
Samsung Health,I have a Samsung S3 watch connected to an LG v50 phone. About eight months ago it stopped calculating my stairs climbed. I work in construction and I am up and down the ladder all day and up and down stairs walking through buildings. The last time I calculated any stairs was a month ago and before that it had gone for months saying I had not gone up even one flight of stairs. I have two flights of stairs in my house and go up and down them all the time. It's incredibly annoying do not have this.,2
Samsung Health,"Compared to me using Apple Watch, iPhone and the Apple Health, Samsung has a different approach which makes it way ahead than the apples. Here is why. To use the Samsung Health eco system, you just need a smartphone. Even an iPhone in your pocket can enable every feature of this advanced sports and health monitoring app whether you have a Samsung watch, fitness band. challenge friends and family for the steps you take, or compete for ranking and completion of monthly challenges and what not",5
Samsung Health,"Confusing, not user friendly, tiny font point, no flexibility, lost my data, etc etc etc. Sleep tracking occasionally gives me a block graph instead of sleep cycle details. I contacted tech support 6x and no department would handle my call. App support just kept looping me around to departments.",1
Samsung Health,"These best function for me was weight management. Based on my personal data, I could monitor my close to actual metabolic rate- it also synced with my watch so I could glance and know where I was for the day regarding calories in vs. burned. The function is good for losing, gaining or maintaining weight. Unfortunately, this function was removed from the app in the last update. So I find the app not nearly as useful as it was.",1
Samsung Health,"Doubles the number of steps by counting the steps recorded by the mobile and adding the steps recorded by watch active 2 too. The software should be such that if same steps are recorded by both devices at the same time, only the set of steps from the watch or the average of both should be calculated. How can Samsung allow such errors...? Instead the Samsung health app just tells us that you don't have an option to count steps only from your watch active 2. Then why buy such costly watches?",4
Samsung Health,"What happened to be able to record Oxygen Levels & Stress Levels? This was such a helpful app, now all I can record is my weight & bp. (I only used 4 options).UPDATE: Response email to their response:""Um, I live in the States. And there isn't anything for the Stress, but I am more concerned about my Oxygen.By the looks of ALL the recent negative reviews (not many positive ones) 88.2% of users are NOT happy with this update.Why break something that was working GREAT?"" I think app will be deleted.",2
Samsung Health,"I used to use this app all the time and absolutely loved it. But I think it must have auto updated in the last month or two, and it is now seriously inaccurate (it underestimates by a lot) for distance covered which is all I use it for. I really want to use it to measure the distance walked and don't know how to rectify it. Any suggestions? Thanks.",3
Samsung Health,"I love the app, but I would like to suggest something. I'm getting my steps in, but I think that if you want to give more incentive, rather than giving earnings after 10,000 steps, how about every 1,200? Like maybe $5 for every 1,200 steps, perhaps. I'm not sure what you think about it, but it's a great incentive to get walking more. I like the idea of earning while I do what I do every day. My wife & I compare our steps & distance walked every day, it's a lot of fun for us. Thanks for your time",5
Samsung Health,Wouldn't let me look at my challenges. Kept saying I had to verify my identity. Then I kept having to change my login to get in and it still wouldn't take me to challenges. Had to change my login agaoan and again. Worthless site once you are on it. It doesn't serve its purpose. All my information erased when I tried to reinstall it(thought that might help) This was the best app before any changes. Ugh! I also used this to track my BP and weight loss. Frustrating when it was working fine before.,3
Samsung Health,"Edit: support team was so quick to suggest the solution here I'm thoroughly impressed! Thanks, will try it out! Original review: The app is great overall unfortunately not free of bugs. I did a run in the morning and walk in the afternoon. All the data is available on both watch and app, but only the afternoon walk counts towards the daily fitness goal. In the app the step and calorie counter show the time when I was running as blank",5
Samsung Health,"confusing interface and bugs. I bought the Samsung Galaxy fit 2 and connected it to the app. 1) you can't adjust the length of your step. Hence in my case for example it lowers the speed and distance by 20%, which is unusable. 2) there was a coffee cups counter widget. After I connected the band, it disappeared. 3) poor connectivity with Strava. I did 2 walks. I recorded one manually and another one automatically. The app merged them into one and send to Strava with errors.",3
Samsung Health,"So 👎. The Samsung Health App and Samsung Fit e do not work well together. The Fit e records data and pulse incorrectly, and gives bad data. Example, cardio, my heart rate measured was 151, Samsung was recording it at....75. No amount of restarting sorted this out, and it is happening more frequently. Do not get a Fit e to pair it with the Health app",1
Samsung Health,"Samsung Health export to Strava much better now. Samsung Health exports to Strava, but randomly. But now it only supports Samsung devices eg Galaxy watch, it used to support my Wahoo HRM. Google fit is the same, only supports wear OS devices. So I now use a Wahoo health app which sync's to Strava ",3
Samsung Health,I use this with the Samsung watch. I like the fact that it gives me the ability to track data throughout the day and see what my trends look like. I do wish that there was a barcode scanner to enter food. I also wish you could add supplements and prescriptions to your nutrient list separate from your food. For example simply programming and my daily pills as a meal. The truth of the matter is I am a chef and cook a lot of my meals from scratch which makes it very difficult to enter them into the food data for my daily meals. It would be nice if there was a way to enter the entire amount that I cooked as a dish and then they portion of that dish that I ate as a meal.,5
Samsung Health,i luv that the fact that it is already preinstalled in the samsung galaxy phones. the step counter is VERY useful. not alot of the health websites sync with samsung & i HATED entering it manually so i bought a samsung gear so my steps always count. I also use the weight & food tracker....i just wished they would have a note section for each food u track. for example...i might get 4 stacks of pancake but only ate 2 with syrup & butter. i kno u can enter it manually but if it's already there.,5
Samsung Health,"It sucks for counting your steps now, it was only counting about every fourth step I took so I didn't get a star for the monthly challenge but it sure does count 1 step as 100 for other people. The monthly challenges are annoying because they allow so many people to cheat. They should be able to tel...",1
Samsung Health,"This is a very good app. Especially in this age it has most everything. It tracks activities, food/drink, sleep and for me most important - BP, HR, Glucose, and O2. I just wish it had temperature and an easy way to export it to excel or such. Then it would be perfect.",4
Samsung Health,This went from being one of my favorite apps to being the absolute worse. It is constantly crashing! The steps are not being counted correctly and my data from previous days has disappeared! What the heck happened with the last update! I am super upset and disappointed. Fix it already!,1
Samsung Health,"I truly enjoyed this app. All of a sudden, (within the last 2 weeks) when I open the app, it shuts down and I end up on my home page. I refreshed my phone, (Samsung Galaxy Note 10 Plys) keep turning it off and then turn it back on, to no avail. Please help me out",3
Samsung Health,"My favorite free calorie and fitness app, hands down. I've used them all. Of course noom and ww are best... but with a pricetag. For maintenance or when you don't need that extra push, this is perfect. Tried my fitness pal could not stand the constant interruptions pushing for upgrade- made very difficult to use. This interface is great, tracks steps, food diary is very intuitive, as is the ability to add activities, everything in one place.",5
Samsung Health,"I don't want to take away from the positives this app brings. However, I don't understand why the data you're collecting and saving can't be viewed using different metrics. For one, an average distance for the month is of no real use to me personally. However, total distance in that month would b",4
Samsung Health,"Absolutely the worst fitness app. Too bad I'd spent big monies for Samsung Watches (two of them) yet over the last few years, it's app is woefully inadequate. My sleeps are not properly recorded over and over (I can't wear the watch any tighter). I am seriously thinking about switching to competitiv...",1
Samsung Health,Downloaded Samsung Health when I purchased Watch Active2 10/4/20 hoping to get the much long awaited ECG and Blood Pressure Monitoring functions. Only to find out that these functions will Not work on a non Samsung Android phone. I will wait 30 more days for a software update that will load these two features on my Android phone before I return the Watch Active2 for a refund. Very disappointed so far!! Hopefully resolved soon or class action suit should follow,1
Samsung Health,"When I owned a Samsung S10e the app worked and did what I wanted (albeit with ads). Now on a Pixel 4XL and I simply cannot login no matter how many times try different ways. Giving 3 star because it does what needs to on Samsung phones, but could improve in a number of ways then dropping a star for login in problems on other phones",2
Samsung Health,"Updated 11/5/20 I'm not liking that my workouts aren't being tracked correctly and showing up on my app. I have 4 workouts this week that include a few runs and they aren't showing up which then affects how my fitness pal app calculates how many calories I'm allowed. Previous: I like the various workout options but what I looooved about the Fitbit app was that I can scan a good product and it would pop up for food logging. This app doesn't have that, you have to manually enter the items :/",3
Samsung Health,"I have just changed my phone from an S8 to an A90. I had loads of features on my S8 which I used almost daily, Heart Rate monitor, blood oxygen level and stress monitor. However these features have been removed and I am disappointed by this. I have given it 2 stars as it has kept some of the previous features but the features I used the most have been removed. I am seriously thinking of going back to my S8",2
Samsung Health,"The app is overall good, it works fine to me. Step counting is perfect, auto sleeping data update is almost accurate. Nonetheless I can't give 5 star because of a poor thing. This app automatically doesn't count any satires even their is no data inputs option in manually. I think this thing should be fixed at the earliest.",3
Samsung Health,"It lost my steps. It'd count them during the day but at the end of the day, they'd disappear (wouldn't show up in trends). Reinstalling didn't fix it. It eventually started working again on the Nov 1st without me doing anything. I lost a streak of about 3 months and thus stopped using it. It's still installed, but I don't trust it anymore to keep track of my steps.",3
Samsung Health,"Keeps crushing on huawei p30 pro. Contacted support serveral times, they suggested usual practice with rebooting, clearin cache and data but nothing seems to work. Thinking to return my galaxy watch 3 since I payed so much for a product that don't have half of the apps working ",1
Samsung Health,"Every update fixes less issues then it introduces. Wonder if there is any kind of quality assurance or customer feedback noted. There are countless reviews saying ""Removal of weight management has made the app useless"". However the developers neither provide a reason nor an assurance for it to be ba",1
Samsung Health,Honestly about 2 weeks ago I would have given this app 5 star. But ever since I updated and lost weight management I barely use it anymore. I was finally able to lose weight in a healthy and functional manner but now with it gone I'm better off paying for and using other apps at this point.,3
Samsung Health,"Stress meter cannot be trusted; I'm often under a lot of stress but the stress rating can be anywhere from high to low, with no real correlation. Also apparently the ""real"" reason they removed the standalone SpO2 reading could be that the reading I get can vary just by how I put my finger on the sensor. Especially lousy now that we are in the middle of the COVID-19 pandemic, where a major symptom of being infected is a significant drop in blood oxygen",4
Samsung Health,"This used to be a good app. The last update ruined it. Don't know what they did, but it hangs on the splash screen more often than not. When it does work, it frequently stops working mid-workout. Lost 3500 steps yesterday, and today a 50-mile bike ride vanished. 274 active minutes",1
Samsung Health,"This used to be a great app. This app, connected to my Active Watch 2 and myfitnesspal, helped me to lose a third of my body weight - and more recently has been helping me to learn to balance calories more naturally. The latest updates have removed the calorie tracker and the link to myfitnesspal which makes this app useless and myfitnesspal far less useful. Don't waste your money on a samsung watch - a garmin or fitbit are probably the better choice now. Very disappointed in samsung.
",1
Samsung Health,"Does not always accurately count steps. Will stop counting and then resume but with many missed steps in between. For example, worked in my yard yesterday for about 30 minutes, registered that I had only walked 22 steps. Stayed on 22 for at least 3 minutes of walking, and then it kicked in. This morning walked about 5 minutes before it moved from 0.
",2
Samsung Health,Bought the Active 2 watch to monitor and track my fitness and exercise. Started off great but then...my workouts would randomly get deleted from my watch...annoying! After that my weekly summary stopped displaying my weekly activity and trends...disappointing! Then Samsung decided that it should stop tracking burned calories altogether!!! Why on earth would you create an update that omits a calories burned tracker from an ACTIVITY WATCH??? I'm am beyond disappointed and frustrated!,1
Samsung Health,"Hi 👋 I love the App, but I think is unfortunate that so many people cheat on the global challenges and nothing is done about it 😕 The November challenge started today and the leader board has people who walked over 110000 steps in only 18 hours, how is this even possible? The other thing I find upsetting is login in the food, like if I put milk it doesn't show that there is any calcium on it, but milk does have calcium hey! Please, make sure the food's nutrition info are up to date. Thanks 😊",2
Samsung Health,"This last update changed the app to stop counting steps and I'm furious after 11 straight months of using it. All of a sudden. It's specifically effecting the steps counted because it's still lapsing time correctly, but my steps have been cut in half. I've force stopped it, turned counting steps off and on, deleted and and then I redownload the app, I've cleared the cache. Nothing. And I can't undo the stupid update. Terrible. I'd give it zero stars. Currently looking for a new health app.",1
